"Plot_ID","Species","Subplot_ID","Reproduction_Count"
17,"Crataegus spp.",8,1
17,"Hamamelis virginiana",8,9
17,"Populus grandidentata",9,1
17,"Prunus serotina",1,2
17,"Prunus serotina",5,4
17,"Prunus serotina",6,1
17,"Prunus serotina",8,2
17,"Prunus serotina",9,6
17,"Quercus alba",5,2
17,"Quercus alba",6,1
18,"Amelanchier laevis",2,1
18,"Carya ovalis",5,1
18,"Hamamelis virginiana",3,5
18,"Prunus serotina",1,12
18,"Prunus serotina",3,2
18,"Prunus serotina",7,1
18,"Prunus serotina",8,1
18,"Prunus serotina",9,1
18,"Sassafras albidum",1,1
19,"Populua grandidentata",7,1
19,"Prunus serotina",1,4
19,"Prunus serotina",4,6
19,"Prunus serotina",5,5
19,"Prunus serotina",8,1
19,"Prunus serotina",9,2
